provider_type,state,total_patients,medical_payment
Cardiology,GA,99,
Physician Assistant,NC,16,1370.11
Family Practice,CA,12,1409.09
Physical Therapist in Private Practice,CO,21,9335.99
Nurse Practitioner,KY,14,891.47
Emergency Medicine,OH,214,29296.61
Nurse Practitioner,WV,232,34285.84
Gastroenterology,FL,211,43974.33
Cardiology,NY,27,4442.87
Nurse Practitioner,OH,115,8410.01
Diagnostic Radiology,NJ,43,3197.18
Internal Medicine,CO,27,6882.98
Internal Medicine,CA,43,16918.53
Family Practice,PA,160,27526.2
Physician Assistant,TX,14,
"Psychologist, Clinical",MA,36,17400.38
Hospitalist,ND,204,43042.99
Physician Assistant,CT,65,4997.48
Family Practice,UT,96,17798.16
Medical Genetics and Genomics,TN,23,3332.7
Family Practice,KY,235,
Hospitalist,NY,245,216191.7
General Surgery,NY,357,97288.16
Physician Assistant,OH,84,7077.83
Certified Registered Nurse Anesthetist (CRNA),WI,75,5764.37
Cardiology,MI,588,150096.63
Nurse Practitioner,FL,138,60689.47
Licensed Clinical Social Worker,AL,12,115.66
Certified Registered Nurse Anesthetist (CRNA),WA,501,45495.23
Gastroenterology,TX,494,
Nurse Practitioner,OH,89,8463.79
Physical Therapist in Private Practice,NJ,126,113763.93
Internal Medicine,LA,134,43416.64
Internal Medicine,NY,164,14431.37
Certified Registered Nurse Anesthetist (CRNA),MN,29,2894.08
Emergency Medicine,KS,348,41288.31
Otolaryngology,NY,357,126438.8
Hospitalist,TX,251,70115.53
Anesthesiology Assistant,GA,86,7849.77
Nurse Practitioner,GA,17,
"Psychologist, Clinical",MD,36,15415.08
Rheumatology,IL,338,83930.46
Emergency Medicine,ME,241,25729.98
Certified Registered Nurse Anesthetist (CRNA),MA,178,15055.3
Physician Assistant,TN,144,
Physician Assistant,WI,137,
Physical Therapist in Private Practice,TX,61,33017.89
Rheumatology,KS,450,135719.31
Certified Registered Nurse Anesthetist (CRNA),LA,70,7851.8
Registered Dietitian or Nutrition Professional,IL,27,3134.36
Diagnostic Radiology,KY,2622,120928.75
Orthopedic Surgery,WI,152,63051.15
Family Practice,MI,124,40425.02
Nurse Practitioner,OH,19,2118.95
Podiatry,MI,519,161135.59
Nurse Practitioner,MS,208,29160.35
Family Practice,MN,209,19219.54
Certified Registered Nurse Anesthetist (CRNA),KS,143,14824.74
Certified Registered Nurse Anesthetist (CRNA),FL,142,27512.59
Dermatology,MN,42,3343.41
Critical Care (Intensivists),OH,82,17711.09
Physician Assistant,TX,96,9403.51
Family Practice,NJ,221,26726.47
Radiation Oncology,AL,374,1003814.57
Nurse Practitioner,MA,286,
Sports Medicine,CO,245,137294.95
Internal Medicine,FL,107,24095.5
"Psychologist, Clinical",WA,31,6909.64
Physical Therapist in Private Practice,IN,35,10965.26
Emergency Medicine,TX,24,3369.19
Anesthesiology,VA,515,50863.61
Emergency Medicine,MN,55,6350.83
Physical Therapist in Private Practice,NY,178,133178.99
Certified Registered Nurse Anesthetist (CRNA),TX,105,24905.86
Nurse Practitioner,HI,347,416777.49
Nurse Practitioner,CT,213,38729.09
Hospitalist,NC,58,15286.68
Nurse Practitioner,MO,116,13658.23
Podiatry,CA,227,
Family Practice,MN,138,23255.74
Diagnostic Radiology,MI,2821,126116.4
Certified Registered Nurse Anesthetist (CRNA),IL,179,21950.91
Nurse Practitioner,AZ,40,1550.06
Family Practice,VA,270,58757.4
Physical Therapist in Private Practice,CA,65,35857.88
Hospitalist,PA,207,50148.24
Obstetrics & Gynecology,PA,111,9318.1
Neurology,TX,236,59376.79
Anesthesiology,UT,168,38960.94
Emergency Medicine,GA,75,7209.41
Physical Therapist in Private Practice,MN,14,17802.66
Orthopedic Surgery,TX,41,9939.13
Internal Medicine,FL,151,20234.22
Optometry,TX,366,50677.69
Diagnostic Radiology,PA,3905,115700.28
Emergency Medicine,TX,864,128483.37
Emergency Medicine,CA,496,79143.55
Internal Medicine,CT,22,22092.6
Chiropractic,MA,53,18004.3
Orthopedic Surgery,GA,343,131526.54
Diagnostic Radiology,MO,2958,83390.21
Diagnostic Radiology,MO,913,59401.87
Podiatry,ND,368,72355.64
Podiatry,CT,1254,195660.17
Physical Therapist in Private Practice,PA,157,27467.94
Audiologist,VA,327,16036.25
Certified Registered Nurse Anesthetist (CRNA),NM,57,8665.68
Obstetrics & Gynecology,GA,55,11355.95
Emergency Medicine,OR,186,25687.46
Nurse Practitioner,SC,13,646.57
Hospitalist,NY,247,77368.76
Neurology,MD,84,11608.29
Internal Medicine,WA,17,
Anesthesiology,TX,44,10378.41
Interventional Cardiology,WI,46,9703.64
Internal Medicine,OR,178,40697.12
Physician Assistant,MN,182,
Physical Therapist in Private Practice,WY,176,78899.93
Certified Registered Nurse Anesthetist (CRNA),TX,344,43618.62
Family Practice,AR,187,
Physical Therapist in Private Practice,NE,45,32501.79
Family Practice,IL,79,859.91
Nurse Practitioner,PA,150,
Internal Medicine,NJ,306,187673.49
Registered Dietitian or Nutrition Professional,AZ,11,1233.03
Certified Registered Nurse Anesthetist (CRNA),OK,28,2998.29
Diagnostic Radiology,MO,1772,91610.53
Nurse Practitioner,LA,108,49165.09
Physical Therapist in Private Practice,NY,22,24325.1
Family Practice,ID,126,49366.82
Podiatry,WA,101,
Internal Medicine,TX,114,25072.7
Gastroenterology,MO,228,43448.02
Pathology,MS,1282,93376.3
Maxillofacial Surgery,MD,18,3265.84
Diagnostic Radiology,AZ,4627,290538.66
Nurse Practitioner,PA,185,28463.43
Hospitalist,TX,44,5967.17
Obstetrics & Gynecology,CA,26,7440.37
Optometry,IL,213,19280.34
Orthopedic Surgery,OH,203,79469.37
Family Practice,FL,236,64831.6
Physician Assistant,NE,377,121852.71
Nephrology,PR,28,4693.16
Family Practice,IL,82,18085.21
Anesthesiology,MD,311,29282.33
Cardiology,NM,861,152956.53
Emergency Medicine,TX,581,82985.77
Diagnostic Radiology,FL,640,79413.14
Family Practice,NY,134,33068.18
Certified Registered Nurse Anesthetist (CRNA),GA,101,13800.43
Nurse Practitioner,MO,153,
Nurse Practitioner,NC,13,712.99
Internal Medicine,PA,40,8179.09
Nurse Practitioner,NY,57,6120.41
Cardiology,CT,857,60071.86
Internal Medicine,FL,253,35740.01
Family Practice,IL,150,32392.83
Internal Medicine,NC,122,45018.82
Physician Assistant,CA,66,
Sports Medicine,MA,367,97816.58
Hospitalist,VA,121,50393.97
Nephrology,KS,239,73935.55
Family Practice,DE,779,192388.17
Audiologist,NY,84,8877.7
Licensed Clinical Social Worker,PA,14,3938.08
Physician Assistant,OK,1093,165985.49
Certified Registered Nurse Anesthetist (CRNA),MN,195,24002.86
Nurse Practitioner,IL,99,17097.84
Nurse Practitioner,PA,523,42777.2
Urology,OH,249,42191.6
Physical Therapist in Private Practice,MI,47,37455.66
Cardiology,TX,605,386393.7
Family Practice,CA,216,53433.71
Chiropractic,MA,23,4986.58
Nurse Practitioner,AR,455,
Physician Assistant,NC,29,2151.21
Chiropractic,MA,43,5653.85
Nurse Practitioner,FL,35,2643.01
Internal Medicine,CA,475,397410.97
Gastroenterology,AL,57,8116.45
Family Practice,CA,72,
Nurse Practitioner,NY,204,53859.56
Psychiatry,CT,108,83390.26
Nurse Practitioner,FL,34,1849.36
Nurse Practitioner,AZ,84,14947.21
Anesthesiology,NH,326,56430.53
Physical Therapist in Private Practice,MA,86,36175.7
Certified Registered Nurse Anesthetist (CRNA),ND,109,11787.21
General Surgery,MO,50,10798.34
Chiropractic,IL,11,4950.87
Physician Assistant,IL,253,22190
Physical Therapist in Private Practice,SC,66,30683.63
Emergency Medicine,VA,162,21242.95
Endocrinology,MN,317,55682.19
Ophthalmology,OK,1339,375591.07
Internal Medicine,WA,167,39870.4
Nurse Practitioner,NV,176,32577.91
Family Practice,WA,106,
"Psychologist, Clinical",PA,25,32156.65
Diagnostic Radiology,NC,2620,97163.91
Nurse Practitioner,IA,83,11020.47
Emergency Medicine,LA,66,9179.61
Licensed Clinical Social Worker,MO,14,29913.5
Physician Assistant,CO,126,
General Surgery,OH,292,73432.86
Family Practice,CA,14,
Nurse Practitioner,NY,231,16638.78
Family Practice,MA,29,2651.6
Geriatric Medicine,MD,86,11398.04
Physician Assistant,TX,114,
Physician Assistant,IA,105,13944.93
Psychiatry,TX,17,20419.65
Audiologist,FL,11,376.2
Pathology,DE,1851,113791.09
Otolaryngology,IL,602,745767.5
Optometry,LA,28,2608.04
Nurse Practitioner,NY,39,4288.95
Urology,GA,318,
Podiatry,NY,36,20284.74
Physician Assistant,MN,97,14129.5
Optometry,MN,173,21590.11
Nurse Practitioner,NJ,118,
Anesthesiology,CA,31,7210.66
Nurse Practitioner,NM,12,907.11
Family Practice,WA,18,
Internal Medicine,MA,56,15727.03
"Psychologist, Clinical",WI,28,41038.97
Nurse Practitioner,MA,79,4319.68
Psychiatry,LA,50,15595.92
Nurse Practitioner,KS,142,22914.58
Anesthesiology,CA,33,7026.1
Internal Medicine,GA,474,
"Psychologist, Clinical",WI,34,14198.51
Emergency Medicine,MN,106,12103.55
Chiropractic,FL,67,16572.08
Physical Therapist in Private Practice,TN,66,24666.85
Nurse Practitioner,TX,68,6350.36
Certified Registered Nurse Anesthetist (CRNA),AZ,67,5794.77
Physical Therapist in Private Practice,MD,36,53028.54
Anesthesiology,MI,26,3777.98
Physician Assistant,IN,239,28723.2
Physician Assistant,IA,85,17554.25
Cardiology,FL,759,273400.88
Interventional Cardiology,OH,523,88202.4
Anesthesiology,NE,63,13785.86
Physician Assistant,CA,19,
Diagnostic Radiology,MD,600,26417.05
Internal Medicine,PA,329,
Family Practice,WI,255,36290.96
Nurse Practitioner,CA,69,38378.91
Diagnostic Radiology,IN,213,6512.69
Physician Assistant,TX,105,14440.36
Family Practice,CA,252,96163.7
Nurse Practitioner,NC,88,25764.16
Diagnostic Radiology,NC,801,40070.5
Optometry,UT,78,11591.55
Physician Assistant,OH,185,27026.93
Certified Registered Nurse Anesthetist (CRNA),IN,31,3481.47
Physician Assistant,NJ,20,2261.8
Nurse Practitioner,NE,109,21410.49
Nurse Practitioner,OH,70,10474.78
Internal Medicine,IN,435,90793.16
Physician Assistant,PA,68,7935.3
Orthopedic Surgery,FL,41,6628.34
Obstetrics & Gynecology,AL,21,2646.11
Nuclear Medicine,NY,268,18240.87
Chiropractic,AZ,36,9013.6
Physician Assistant,NE,43,
Orthopedic Surgery,OH,21,6778.39
Diagnostic Radiology,CO,1272,42676.08
Physician Assistant,KY,45,4062.8
Nurse Practitioner,FL,326,22123.6
Nurse Practitioner,PA,481,54407.33
Endocrinology,PR,30,3518.11
Psychiatry,MD,61,65119.58
Emergency Medicine,MI,91,11496.65
Family Practice,AL,270,25727.87
General Surgery,CO,183,41247.1
Neurosurgery,FL,200,161220.92
Obstetrics & Gynecology,NH,18,4140.06
Internal Medicine,FL,209,85769.41
Preventive Medicine,TX,28,
Neurosurgery,FL,107,116866.5
Cardiology,IN,593,128270.58
Obstetrics & Gynecology,NJ,353,
Emergency Medicine,FL,69,11470.24
Radiation Oncology,MD,173,134407.07
Nurse Practitioner,KY,30,700.84
Obstetrics & Gynecology,GA,54,11539.1
Neurosurgery,IL,240,218252.32
Nurse Practitioner,WY,14,255.26
Nurse Practitioner,NY,359,41224.22
Gastroenterology,IN,677,
Physician Assistant,PA,126,17642.7
Internal Medicine,PA,106,36639.29
Orthopedic Surgery,LA,523,245332.94
Nurse Practitioner,IA,651,88132.79
Physician Assistant,NJ,15,1421.71
Physician Assistant,MA,232,71348.25
Optometry,CA,4062,388248.79
Internal Medicine,AL,135,37984.23
Internal Medicine,SC,16,1426.86
Ophthalmology,UT,942,402939.33
Certified Registered Nurse Anesthetist (CRNA),TX,82,15041.68
Family Practice,MS,120,
Physical Therapist in Private Practice,AZ,30,26764.48
Emergency Medicine,LA,365,39147.5
Internal Medicine,CA,111,
Chiropractic,NC,92,33413.83
Physical Therapist in Private Practice,VA,17,24913.41
Diagnostic Radiology,TX,406,13693.88
Physician Assistant,FL,98,8350.1
Optometry,OK,275,32500.51
Certified Registered Nurse Anesthetist (CRNA),TX,28,6592.62
Internal Medicine,DC,207,32785.06
Nephrology,KY,178,52432.72
Nurse Practitioner,OH,205,37794.07
Podiatry,CO,77,
Nurse Practitioner,ND,28,3512.94
Gastroenterology,NY,114,12296.81
Diagnostic Radiology,CA,1752,260199.38
Anesthesiology,CA,139,24142.83
Hospitalist,PA,33,7939.88
Allergy/ Immunology,CA,203,33467.08
Family Practice,NM,116,10430.19
Allergy/ Immunology,SD,95,9064.66
Nurse Practitioner,CA,793,250160.46
Physician Assistant,IL,52,
Ophthalmology,MO,33,9191.3
Critical Care (Intensivists),TX,234,66674.48
Registered Dietitian or Nutrition Professional,GA,26,3862.36
Plastic and Reconstructive Surgery,CT,61,62167.19
Urology,OH,606,44735.51
Emergency Medicine,NY,216,24425.87
Internal Medicine,PA,103,45836.23
Pulmonary Disease,OH,369,
Obstetrics & Gynecology,CA,26,5220.19
Neurology,TX,362,134367.8
Internal Medicine,KS,128,19749.49
Orthopedic Surgery,NY,477,155847.59
Physician Assistant,NC,57,
Diagnostic Radiology,OH,3355,119432.98
Internal Medicine,NJ,14,191.49
Internal Medicine,IL,177,45143.63
Diagnostic Radiology,RI,1720,129006.89
Nurse Practitioner,KY,268,58884.13
Sports Medicine,MI,96,31223.34
Physician Assistant,LA,63,5357.22
Nurse Practitioner,WA,31,24594.28
Anesthesiology,NJ,342,79425.8
Chiropractic,CA,17,3401.15
Internal Medicine,TN,155,79777.4
Sports Medicine,NH,262,49418.85
Certified Registered Nurse Anesthetist (CRNA),CA,145,14894.79
Physical Therapist in Private Practice,NC,18,1261.93
Critical Care (Intensivists),CT,142,39166.53
Internal Medicine,IL,21,
Chiropractic,MA,89,32043.35
Cardiology,TX,905,303897.72
"Psychologist, Clinical",MO,12,29570.42
Internal Medicine,IL,670,431105.04
Nurse Practitioner,MA,13,8959.91
Emergency Medicine,NY,324,43120.88
Occupational Therapist in Private Practice,NE,30,26646.57
Certified Registered Nurse Anesthetist (CRNA),TX,176,34420.72
Physician Assistant,WI,93,11072.62
Certified Registered Nurse Anesthetist (CRNA),MN,31,5839.93
Family Practice,VA,207,
Licensed Clinical Social Worker,NM,13,26070.25
Pediatric Medicine,OR,11,1155.46
Anesthesiology,MI,110,31923.65
Physical Therapist in Private Practice,OK,24,14091.3
Family Practice,FL,229,78709.32
Orthopedic Surgery,FL,333,110712.1
Nurse Practitioner,NY,77,
Licensed Clinical Social Worker,OH,14,7345.6
Internal Medicine,NY,14,2089.22
Family Practice,CA,11,
Nurse Practitioner,FL,258,12804.11
Nurse Practitioner,OH,180,63332.61
Occupational Therapist in Private Practice,IL,22,14572.91
Diagnostic Radiology,CA,105,
Nurse Practitioner,TX,60,9095.36
Physician Assistant,CT,126,
Certified Registered Nurse Anesthetist (CRNA),PA,120,22903.15
Internal Medicine,GA,664,
Nurse Practitioner,MN,315,
Nurse Practitioner,NJ,207,38547.55
Physical Therapist in Private Practice,IN,20,23646.05
Diagnostic Radiology,NC,649,20400.17
Occupational Therapist in Private Practice,FL,97,12768.05
Nurse Practitioner,TN,99,22715.89
Chiropractic,NJ,25,10524.49
Orthopedic Surgery,NY,157,77561.54
Physical Therapist in Private Practice,NJ,16,1516.49
Anesthesiology Assistant,TX,71,9114.37
Chiropractic,VA,34,5792.15
Cardiology,TX,48,
Physical Therapist in Private Practice,NJ,154,95867.72
Ophthalmology,NY,552,365582.87
Anesthesiology,KY,69,15277.04
Nurse Practitioner,OH,102,3946.95
Nephrology,IL,140,26403.03
Physician Assistant,AK,47,2610.43
Certified Registered Nurse Anesthetist (CRNA),NM,74,15496.37
Physical Therapist in Private Practice,UT,110,128913.02
Nurse Practitioner,TN,259,56717.67
Rheumatology,CA,1201,236100.92
Certified Registered Nurse Anesthetist (CRNA),TN,186,22776.45
Hand Surgery,OR,780,238967.96
Critical Care (Intensivists),CA,263,47561.61
Physician Assistant,PA,127,40290.15
Physician Assistant,TX,243,84311.52
Diagnostic Radiology,NY,3503,156823.42
Cardiology,FL,77,20256.95
Family Practice,IL,262,56232.24
Nurse Practitioner,FL,526,119333.36
Hematology-Oncology,GA,231,60010.95
Nurse Practitioner,OR,74,7604.99
Anesthesiology,NV,127,16169.94
Family Practice,FL,217,73324.07
Nephrology,NY,41,23103.94
Internal Medicine,CA,22,
Certified Registered Nurse Anesthetist (CRNA),GA,113,9105.21
Nurse Practitioner,OH,37,8738.98
Family Practice,FL,301,
Family Practice,TN,361,12561.2
Physical Therapist in Private Practice,MD,77,74080.73
Neurosurgery,TX,251,198776.88
Nurse Practitioner,SD,72,63288.44
Chiropractic,PA,49,9638.92
Family Practice,SC,220,20282.32
Pulmonary Disease,NJ,842,313228.37
Physical Therapist in Private Practice,OR,198,199961.65
Anesthesiology,TX,171,32914.9
Emergency Medicine,CA,121,16780.29
Dermatology,PA,1011,978891.74
Family Practice,CA,241,115385.69
Hospitalist,NM,247,26899.07
Certified Registered Nurse Anesthetist (CRNA),IL,235,29308.51
Optometry,IA,159,14993.5
Surgical Oncology,FL,36,23150.41
Nurse Practitioner,MS,87,
Ophthalmology,CA,354,
Interventional Cardiology,GA,1889,168591.72
Podiatry,NC,145,28425.98
Physician Assistant,TX,139,33759.78
Nephrology,PA,163,56885.63
Oral Surgery (Dentist only),NE,180,12877.47
Physician Assistant,NC,21,
"Psychologist, Clinical",OR,15,29080.48
Allergy/ Immunology,CA,446,81546.56
Nurse Practitioner,OK,24,9059.76
Orthopedic Surgery,IL,134,
Physical Therapist in Private Practice,MT,63,36823.59
Orthopedic Surgery,OH,380,
Nurse Practitioner,NE,79,7920.28
Neurosurgery,CA,49,55009.42
Diagnostic Radiology,NY,619,14551.64
Chiropractic,AZ,172,41525.7
Family Practice,GA,264,94044.47
Physical Therapist in Private Practice,CA,28,88815.55
Podiatry,RI,212,77322.84
Nurse Practitioner,MA,379,62260.8
Certified Registered Nurse Anesthetist (CRNA),WI,120,8611.22
Nurse Practitioner,WI,180,
Emergency Medicine,TN,540,63681.62
Nurse Practitioner,TX,23,739.71
Physical Therapist in Private Practice,GA,91,36287.06
Cardiology,MI,993,
Gastroenterology,IN,81,15532.7
Internal Medicine,IN,332,63768.37
Physical Therapist in Private Practice,OH,74,27185.9
Internal Medicine,NC,1425,132869
Chiropractic,NJ,44,11570.41
Nurse Practitioner,IL,228,28760.75
Nurse Practitioner,PA,128,6980.82
Anesthesiology,IL,35,5572.05
Nurse Practitioner,FL,12,2144.05
Audiologist,IL,133,5507.05
Nurse Practitioner,AL,281,
Nephrology,TX,245,
Nurse Practitioner,IA,244,51088.67
Occupational Therapist in Private Practice,MN,48,10718.8
Physical Medicine and Rehabilitation,NJ,957,441578.36
Internal Medicine,NC,41,20580.64
Pulmonary Disease,CA,995,43402.04
Pediatric Medicine,LA,27,
Family Practice,ID,29,5827.82
Nurse Practitioner,FL,251,47510.05
Emergency Medicine,IL,431,60656.1
Internal Medicine,TX,207,29485.27
Chiropractic,VA,29,11291.76
Anesthesiology,MO,307,48584.7
Physical Therapist in Private Practice,TX,120,43114.91
Allergy/ Immunology,CA,48,17284.45
Nurse Practitioner,OH,149,8804.29
Family Practice,KS,187,22866
Internal Medicine,SC,97,43376.83
Physician Assistant,GA,13,2161.99
Otolaryngology,FL,200,434062.58
Internal Medicine,FL,456,
Anesthesiology,CA,85,25101.12
Nurse Practitioner,CT,222,43092.54
Diagnostic Radiology,TX,2295,140359.64
Nurse Practitioner,CA,578,78905.58
Physical Therapist in Private Practice,CA,443,356385.61
Family Practice,DC,98,14866.53
Diagnostic Radiology,NC,2927,131503.36
Otolaryngology,FL,214,
Licensed Clinical Social Worker,LA,14,2767.63
Endocrinology,TX,202,47739.67
Anesthesiology,VA,227,17347.17
Dermatology,WI,89,7688.16
Nurse Practitioner,GA,515,37533.69
Nurse Practitioner,KS,68,4965.43
Nurse Practitioner,OK,36,
Diagnostic Radiology,AR,143,64620.59
Optometry,UT,170,17856.03
Nurse Practitioner,MD,350,290258.43
Emergency Medicine,TN,89,7309.79
General Practice,CA,116,129951.67
Internal Medicine,CA,270,53985.09
Certified Registered Nurse Anesthetist (CRNA),CA,312,50442.52
Physical Therapist in Private Practice,NY,13,15022.59
Family Practice,IL,1226,94011.02
Anesthesiology,OH,239,34322.84
Physical Therapist in Private Practice,CA,59,61266.3
Audiologist,NC,320,10732.76
Family Practice,IN,186,35249.16
Nurse Practitioner,KY,111,
Sleep Medicine,MI,204,66487.3
Nurse Practitioner,OH,53,
Nurse Practitioner,OH,138,14760.82
Podiatry,NY,353,
Orthopedic Surgery,IA,30,8735
Physician Assistant,CA,46,
Physical Therapist in Private Practice,CA,218,82393.97
Nurse Practitioner,TN,222,185250.36
Obstetrics & Gynecology,PA,40,2635.91
Anesthesiology,FL,523,58653.08
Anesthesiology,IL,53,9226.87
Emergency Medicine,TN,175,23500.89
Diagnostic Radiology,KY,1541,89946.12
Family Practice,IL,34,
Physician Assistant,NY,109,
Anesthesiology,PA,172,226832.81
Internal Medicine,NC,59,15991.09
Nurse Practitioner,AL,41,12007.36
